File Name,Algorithm,Hamming Distance,Avalanche Effect (%)
pattern_100KB.bin,MD5,55,42.96875
pattern_100KB.bin,SHA-1,83,51.87500000000001
pattern_100KB.bin,SHA-256,115,44.921875
pattern_100KB.bin,SHA3-256,141,55.078125
pattern_100KB.bin,BLAKE2b,246,48.046875
pattern_100MB.bin,MD5,72,56.25
pattern_100MB.bin,SHA-1,73,45.625
pattern_100MB.bin,SHA-256,111,43.359375
pattern_100MB.bin,SHA3-256,127,49.609375
pattern_100MB.bin,BLAKE2b,264,51.5625
pattern_10KB.bin,MD5,70,54.6875
pattern_10KB.bin,SHA-1,74,46.25
pattern_10KB.bin,SHA-256,116,45.3125
pattern_10KB.bin,SHA3-256,143,55.859375
pattern_10KB.bin,BLAKE2b,259,50.5859375
pattern_10MB.bin,MD5,59,46.09375
pattern_10MB.bin,SHA-1,84,52.5
pattern_10MB.bin,SHA-256,131,51.171875
pattern_10MB.bin,SHA3-256,136,53.125
pattern_10MB.bin,BLAKE2b,265,51.7578125
pattern_1KB.bin,MD5,64,50.0
pattern_1KB.bin,SHA-1,78,48.75
pattern_1KB.bin,SHA-256,125,48.828125
pattern_1KB.bin,SHA3-256,133,51.953125
pattern_1KB.bin,BLAKE2b,247,48.2421875
pattern_1MB.bin,MD5,58,45.3125
pattern_1MB.bin,SHA-1,77,48.125
pattern_1MB.bin,SHA-256,127,49.609375
pattern_1MB.bin,SHA3-256,145,56.640625
pattern_1MB.bin,BLAKE2b,266,51.953125
pattern_200MB.bin,MD5,70,54.6875
pattern_200MB.bin,SHA-1,83,51.87500000000001
pattern_200MB.bin,SHA-256,128,50.0
pattern_200MB.bin,SHA3-256,143,55.859375
pattern_200MB.bin,BLAKE2b,265,51.7578125
pattern_20KB.bin,MD5,65,50.78125
pattern_20KB.bin,SHA-1,87,54.37499999999999
pattern_20KB.bin,SHA-256,124,48.4375
pattern_20KB.bin,SHA3-256,122,47.65625
pattern_20KB.bin,BLAKE2b,273,53.3203125
pattern_20MB.bin,MD5,70,54.6875
pattern_20MB.bin,SHA-1,90,56.25
pattern_20MB.bin,SHA-256,135,52.734375
pattern_20MB.bin,SHA3-256,136,53.125
pattern_20MB.bin,BLAKE2b,281,54.8828125
pattern_2KB.bin,MD5,66,51.5625
pattern_2KB.bin,SHA-1,80,50.0
pattern_2KB.bin,SHA-256,126,49.21875
pattern_2KB.bin,SHA3-256,119,46.484375
pattern_2KB.bin,BLAKE2b,261,50.9765625
pattern_2MB.bin,MD5,70,54.6875
pattern_2MB.bin,SHA-1,81,50.625
pattern_2MB.bin,SHA-256,141,55.078125
pattern_2MB.bin,SHA3-256,126,49.21875
pattern_2MB.bin,BLAKE2b,261,50.9765625
pattern_50KB.bin,MD5,62,48.4375
pattern_50KB.bin,SHA-1,71,44.375
pattern_50KB.bin,SHA-256,128,50.0
pattern_50KB.bin,SHA3-256,107,41.796875
pattern_50KB.bin,BLAKE2b,262,51.171875
pattern_50MB.bin,MD5,53,41.40625
pattern_50MB.bin,SHA-1,86,53.75
pattern_50MB.bin,SHA-256,129,50.390625
pattern_50MB.bin,SHA3-256,116,45.3125
pattern_50MB.bin,BLAKE2b,266,51.953125
pattern_5KB.bin,MD5,66,51.5625
pattern_5KB.bin,SHA-1,70,43.75
pattern_5KB.bin,SHA-256,112,43.75
pattern_5KB.bin,SHA3-256,122,47.65625
pattern_5KB.bin,BLAKE2b,259,50.5859375
pattern_5MB.bin,MD5,65,50.78125
pattern_5MB.bin,SHA-1,75,46.875
pattern_5MB.bin,SHA-256,127,49.609375
pattern_5MB.bin,SHA3-256,119,46.484375
pattern_5MB.bin,BLAKE2b,234,45.703125
random_100KB.bin,MD5,78,60.9375
random_100KB.bin,SHA-1,83,51.87500000000001
random_100KB.bin,SHA-256,126,49.21875
random_100KB.bin,SHA3-256,125,48.828125
random_100KB.bin,BLAKE2b,236,46.09375
random_100MB.bin,MD5,63,49.21875
random_100MB.bin,SHA-1,76,47.5
random_100MB.bin,SHA-256,126,49.21875
random_100MB.bin,SHA3-256,111,43.359375
random_100MB.bin,BLAKE2b,250,48.828125
random_10KB.bin,MD5,61,47.65625
random_10KB.bin,SHA-1,81,50.625
random_10KB.bin,SHA-256,142,55.46875
random_10KB.bin,SHA3-256,112,43.75
random_10KB.bin,BLAKE2b,247,48.2421875
random_10MB.bin,MD5,73,57.03125
random_10MB.bin,SHA-1,78,48.75
random_10MB.bin,SHA-256,124,48.4375
random_10MB.bin,SHA3-256,128,50.0
random_10MB.bin,BLAKE2b,249,48.6328125
random_1KB.bin,MD5,69,53.90625
random_1KB.bin,SHA-1,76,47.5
random_1KB.bin,SHA-256,111,43.359375
random_1KB.bin,SHA3-256,123,48.046875
random_1KB.bin,BLAKE2b,260,50.78125
random_1MB.bin,MD5,63,49.21875
random_1MB.bin,SHA-1,85,53.125
random_1MB.bin,SHA-256,131,51.171875
random_1MB.bin,SHA3-256,132,51.5625
random_1MB.bin,BLAKE2b,242,47.265625
random_200MB.bin,MD5,72,56.25
random_200MB.bin,SHA-1,86,53.75
random_200MB.bin,SHA-256,128,50.0
random_200MB.bin,SHA3-256,133,51.953125
random_200MB.bin,BLAKE2b,265,51.7578125
random_20KB.bin,MD5,60,46.875
random_20KB.bin,SHA-1,87,54.37499999999999
random_20KB.bin,SHA-256,133,51.953125
random_20KB.bin,SHA3-256,128,50.0
random_20KB.bin,BLAKE2b,250,48.828125
random_20MB.bin,MD5,62,48.4375
random_20MB.bin,SHA-1,76,47.5
random_20MB.bin,SHA-256,135,52.734375
random_20MB.bin,SHA3-256,127,49.609375
random_20MB.bin,BLAKE2b,260,50.78125
random_2KB.bin,MD5,57,44.53125
random_2KB.bin,SHA-1,83,51.87500000000001
random_2KB.bin,SHA-256,124,48.4375
random_2KB.bin,SHA3-256,138,53.90625
random_2KB.bin,BLAKE2b,271,52.9296875
random_2MB.bin,MD5,65,50.78125
random_2MB.bin,SHA-1,75,46.875
random_2MB.bin,SHA-256,122,47.65625
random_2MB.bin,SHA3-256,133,51.953125
random_2MB.bin,BLAKE2b,259,50.5859375
random_50KB.bin,MD5,71,55.46875
random_50KB.bin,SHA-1,71,44.375
random_50KB.bin,SHA-256,122,47.65625
random_50KB.bin,SHA3-256,132,51.5625
random_50KB.bin,BLAKE2b,258,50.390625
random_50MB.bin,MD5,68,53.125
random_50MB.bin,SHA-1,74,46.25
random_50MB.bin,SHA-256,132,51.5625
random_50MB.bin,SHA3-256,129,50.390625
random_50MB.bin,BLAKE2b,248,48.4375
random_5KB.bin,MD5,64,50.0
random_5KB.bin,SHA-1,84,52.5
random_5KB.bin,SHA-256,116,45.3125
random_5KB.bin,SHA3-256,141,55.078125
random_5KB.bin,BLAKE2b,258,50.390625
random_5MB.bin,MD5,65,50.78125
random_5MB.bin,SHA-1,80,50.0
random_5MB.bin,SHA-256,137,53.515625
random_5MB.bin,SHA3-256,117,45.703125
random_5MB.bin,BLAKE2b,253,49.4140625
zero_filled_100KB.bin,MD5,59,46.09375
zero_filled_100KB.bin,SHA-1,78,48.75
zero_filled_100KB.bin,SHA-256,128,50.0
zero_filled_100KB.bin,SHA3-256,144,56.25
zero_filled_100KB.bin,BLAKE2b,269,52.5390625
zero_filled_100MB.bin,MD5,58,45.3125
zero_filled_100MB.bin,SHA-1,84,52.5
zero_filled_100MB.bin,SHA-256,138,53.90625
zero_filled_100MB.bin,SHA3-256,137,53.515625
zero_filled_100MB.bin,BLAKE2b,248,48.4375
zero_filled_10KB.bin,MD5,68,53.125
zero_filled_10KB.bin,SHA-1,84,52.5
zero_filled_10KB.bin,SHA-256,120,46.875
zero_filled_10KB.bin,SHA3-256,120,46.875
zero_filled_10KB.bin,BLAKE2b,250,48.828125
zero_filled_10MB.bin,MD5,72,56.25
zero_filled_10MB.bin,SHA-1,84,52.5
zero_filled_10MB.bin,SHA-256,129,50.390625
zero_filled_10MB.bin,SHA3-256,140,54.6875
zero_filled_10MB.bin,BLAKE2b,275,53.7109375
zero_filled_1KB.bin,MD5,56,43.75
zero_filled_1KB.bin,SHA-1,78,48.75
zero_filled_1KB.bin,SHA-256,136,53.125
zero_filled_1KB.bin,SHA3-256,128,50.0
zero_filled_1KB.bin,BLAKE2b,263,51.3671875
zero_filled_1MB.bin,MD5,69,53.90625
zero_filled_1MB.bin,SHA-1,82,51.24999999999999
zero_filled_1MB.bin,SHA-256,131,51.171875
zero_filled_1MB.bin,SHA3-256,129,50.390625
zero_filled_1MB.bin,BLAKE2b,266,51.953125
zero_filled_200MB.bin,MD5,68,53.125
zero_filled_200MB.bin,SHA-1,88,55.00000000000001
zero_filled_200MB.bin,SHA-256,120,46.875
zero_filled_200MB.bin,SHA3-256,145,56.640625
zero_filled_200MB.bin,BLAKE2b,261,50.9765625
zero_filled_20KB.bin,MD5,65,50.78125
zero_filled_20KB.bin,SHA-1,92,57.49999999999999
zero_filled_20KB.bin,SHA-256,137,53.515625
zero_filled_20KB.bin,SHA3-256,140,54.6875
zero_filled_20KB.bin,BLAKE2b,257,50.1953125
zero_filled_20MB.bin,MD5,58,45.3125
zero_filled_20MB.bin,SHA-1,81,50.625
zero_filled_20MB.bin,SHA-256,129,50.390625
zero_filled_20MB.bin,SHA3-256,119,46.484375
zero_filled_20MB.bin,BLAKE2b,243,47.4609375
zero_filled_2KB.bin,MD5,64,50.0
zero_filled_2KB.bin,SHA-1,87,54.37499999999999
zero_filled_2KB.bin,SHA-256,122,47.65625
zero_filled_2KB.bin,SHA3-256,140,54.6875
zero_filled_2KB.bin,BLAKE2b,263,51.3671875
zero_filled_2MB.bin,MD5,69,53.90625
zero_filled_2MB.bin,SHA-1,80,50.0
zero_filled_2MB.bin,SHA-256,138,53.90625
zero_filled_2MB.bin,SHA3-256,129,50.390625
zero_filled_2MB.bin,BLAKE2b,234,45.703125
zero_filled_50KB.bin,MD5,72,56.25
zero_filled_50KB.bin,SHA-1,87,54.37499999999999
zero_filled_50KB.bin,SHA-256,132,51.5625
zero_filled_50KB.bin,SHA3-256,120,46.875
zero_filled_50KB.bin,BLAKE2b,250,48.828125
zero_filled_50MB.bin,MD5,66,51.5625
zero_filled_50MB.bin,SHA-1,87,54.37499999999999
zero_filled_50MB.bin,SHA-256,120,46.875
zero_filled_50MB.bin,SHA3-256,128,50.0
zero_filled_50MB.bin,BLAKE2b,236,46.09375
zero_filled_5KB.bin,MD5,73,57.03125
zero_filled_5KB.bin,SHA-1,87,54.37499999999999
zero_filled_5KB.bin,SHA-256,126,49.21875
zero_filled_5KB.bin,SHA3-256,121,47.265625
zero_filled_5KB.bin,BLAKE2b,274,53.515625
zero_filled_5MB.bin,MD5,64,50.0
zero_filled_5MB.bin,SHA-1,82,51.24999999999999
zero_filled_5MB.bin,SHA-256,112,43.75
zero_filled_5MB.bin,SHA3-256,142,55.46875
zero_filled_5MB.bin,BLAKE2b,259,50.5859375
