File Size (bytes),BLAKE2b,MD5,SHA-1,SHA-256,SHA3-256
1024,1.3033548990885416e-05,0.00018127759297688803,1.8676122029622395e-05,1.2000401814778646e-05,1.2000401814778646e-05
2048,1.4464060465494791e-05,0.0006629625956217448,2.3365020751953125e-05,1.6609827677408855e-05,1.8755594889322918e-05
5120,1.724561055501302e-05,0.0008002122243245443,3.39349110921224e-05,1.724561055501302e-05,1.9868214925130207e-05
10240,5.586942036946615e-05,0.0008040269215901693,6.604194641113281e-05,4.506111145019531e-05,6.667772928873698e-05
20480,3.703435262044271e-05,0.0010085900624593098,3.568331400553385e-05,2.3047129313151043e-05,4.363059997558594e-05
51200,6.508827209472656e-05,0.00039132436116536457,4.4504801432291664e-05,3.719329833984375e-05,8.861223856608073e-05
102400,0.00012413660685221353,0.0006700356801350912,7.009506225585938e-05,6.167093912760417e-05,0.000171661376953125
1048576,0.0014205773671468098,0.0029326279958089194,0.0005091031392415365,0.0005056858062744141,0.001599709192911784
2097152,0.002323309580485026,0.0061113834381103516,0.0013036727905273438,0.0009892781575520833,0.0032106240590413413
5242880,0.0056985219319661455,0.012687921524047852,0.002634763717651367,0.0026015440622965493,0.008195002873738607
10485760,0.011200984319051107,0.020874738693237305,0.00514531135559082,0.005019028981526692,0.015995264053344727
20971520,0.023101965586344402,0.04140035311381022,0.010701974232991537,0.010435024897257486,0.032774130503336586
52428800,0.058169047037760414,0.10765941937764485,0.026912530263264973,0.0267642339070638,0.08243878682454427
104857600,0.11613297462463379,0.2234666347503662,0.054883718490600586,0.05317155520121256,0.16373578707377115
209715200,0.2341280778249105,0.4322834809621175,0.10805495580037434,0.10767181714375813,0.32877635955810547
