File Size (bytes),Algorithm,Encryption Avg CPU (%),Decryption Avg CPU (%),Encryption Peak Memory (MB),Decryption Peak Memory (MB)
1024,3DES,0.0,99.46666666666665,398.5416666666667,398.5416666666667
1024,AES (128-bit),0.0,93.06666666666666,398.53125,398.53125
1024,Camellia (128-bit),0.0,97.16666666666667,398.5520833333333,398.5520833333333
1024,ChaCha20,0.0,97.89999999999999,398.5520833333333,398.5520833333333
2048,3DES,0.0,99.86666666666667,551.4895833333334,551.4895833333334
2048,AES (128-bit),0.0,94.46666666666665,551.4895833333334,551.4895833333334
2048,Camellia (128-bit),0.0,98.76666666666667,551.4947916666666,551.4947916666666
2048,ChaCha20,0.0,100.63333333333333,551.4947916666666,551.4947916666666
5120,3DES,0.0,99.86666666666667,552.3958333333334,552.3958333333334
5120,AES (128-bit),0.0,98.56666666666668,552.3958333333334,552.3958333333334
5120,Camellia (128-bit),0.0,99.43333333333334,552.3958333333334,552.3958333333334
5120,ChaCha20,0.0,91.13333333333333,552.3958333333334,552.3958333333334
10240,3DES,0.0,99.93333333333334,419.9791666666667,419.9791666666667
10240,AES (128-bit),0.0,96.89999999999999,419.9739583333333,419.9791666666667
10240,Camellia (128-bit),0.0,99.66666666666667,419.984375,419.9895833333333
10240,ChaCha20,0.0,99.76666666666667,419.984375,419.984375
20480,3DES,0.0,100.0,388.2135416666667,388.21875
20480,AES (128-bit),0.0,99.13333333333333,388.1927083333333,388.2135416666667
20480,Camellia (128-bit),0.0,99.93333333333334,388.21875,388.21875
20480,ChaCha20,0.0,102.86666666666667,388.21875,388.21875
51200,3DES,0.0,100.0,552.3958333333334,552.3958333333334
51200,AES (128-bit),0.0,98.60000000000001,552.3958333333334,552.3958333333334
51200,Camellia (128-bit),0.0,100.03333333333335,552.3958333333334,552.3958333333334
51200,ChaCha20,0.0,100.06666666666666,552.3958333333334,552.3958333333334
102400,3DES,50.0,99.7,419.8802083333333,419.8802083333333
102400,AES (128-bit),48.78333333333333,99.45,419.8177083333333,419.8177083333333
102400,Camellia (128-bit),49.96666666666667,100.0,419.9270833333333,419.9635416666667
102400,ChaCha20,49.666666666666664,100.95,419.8854166666667,419.921875
1048576,3DES,92.94583333333333,99.14791666666667,398.5625,398.5625
1048576,AES (128-bit),93.70416666666667,99.97916666666667,398.5625,398.5625
1048576,Camellia (128-bit),93.61041666666667,99.99583333333334,387.8697916666667,387.8697916666667
1048576,ChaCha20,93.67291666666665,99.96041666666667,387.6041666666667,387.6041666666667
2097152,3DES,96.66145833333333,99.91458333333333,551.7291666666666,551.7291666666666
2097152,AES (128-bit),95.909375,99.76145833333334,551.5,551.7083333333334
2097152,Camellia (128-bit),96.64166666666667,99.88541666666667,552.3854166666666,552.390625
2097152,ChaCha20,96.8125,99.40208333333334,551.8385416666666,552.3802083333334
5242880,3DES,98.26416666666667,99.65541666666667,556.640625,556.640625
5242880,AES (128-bit),98.19166666666666,99.49708333333332,553.1614583333334,556.1614583333334
5242880,Camellia (128-bit),98.55583333333334,99.79583333333333,556.984375,557.1979166666666
5242880,ChaCha20,98.66291666666666,99.88,556.7760416666666,556.7760416666666
10485760,3DES,97.90895833333333,98.735,405.4375,404.390625
10485760,AES (128-bit),95.19333333333333,99.56875000000001,520.125,432.671875
10485760,Camellia (128-bit),99.15270833333334,99.63229166666667,392.6197916666667,398.5260416666667
10485760,ChaCha20,99.19979166666667,99.748125,392.4739583333333,392.484375
20971520,3DES,99.0003125,99.09239583333334,589.6614583333334,612.71875
20971520,AES (128-bit),97.35218750000001,99.29364583333334,555.5364583333334,588.03125
20971520,Camellia (128-bit),99.26020833333332,98.68885416666666,595.9322916666666,609.9895833333334
20971520,ChaCha20,98.48604166666667,99.58916666666666,593.9479166666666,616.2291666666666
