Encryption Latency (µs),Decryption Latency (µs),Chunk Size (bytes),Algorithm
200.03318786621094,3.0994415283203125,1024,AES (128-bit)
6.198883056640625,5.0067901611328125,4096,AES (128-bit)
9.059906005859375,7.8678131103515625,8192,AES (128-bit)
21.93450927734375,13.828277587890625,16384,AES (128-bit)
28.848648071289062,25.033950805664062,32768,AES (128-bit)
123.9776611328125,98.94371032714844,1024,3DES
362.8730773925781,353.09791564941406,4096,3DES
700.9506225585938,701.904296875,8192,3DES
1403.0933380126953,1450.0617980957031,16384,3DES
2802.8488159179688,2815.9618377685547,32768,3DES
190.97328186035156,2.86102294921875,1024,ChaCha20
2.86102294921875,2.86102294921875,4096,ChaCha20
4.291534423828125,4.76837158203125,8192,ChaCha20
8.106231689453125,6.9141387939453125,16384,ChaCha20
14.066696166992188,15.020370483398438,32768,ChaCha20
28.133392333984375,26.941299438476562,1024,Camellia (128-bit)
103.95050048828125,103.23524475097656,4096,Camellia (128-bit)
205.99365234375,201.94053649902344,8192,Camellia (128-bit)
437.9749298095703,399.1127014160156,16384,Camellia (128-bit)
824.9282836914062,803.2321929931641,32768,Camellia (128-bit)
