File Size (bytes),Algorithm,Encryption Throughput (MB/s),Decryption Throughput (MB/s)
1024,3DES,8.86591143499423,10.246771251343828
1024,AES (128-bit),130.0907441016334,275.06715506715506
1024,Camellia (128-bit),24.89875556542223,33.23275114579463
1024,ChaCha20,167.19857397504458,493.037037037037
2048,3DES,9.924114551865474,10.057368976797983
2048,AES (128-bit),239.79647509578544,482.9978213507625
2048,Camellia (128-bit),28.801468902313843,36.41790607140578
2048,ChaCha20,248.27644683222775,805.3681917211329
5120,3DES,10.610083415623913,10.6608919953607
5120,AES (128-bit),439.1547468334498,690.5134099616859
5120,Camellia (128-bit),34.34364721401046,37.73992735399551
5120,ChaCha20,587.3021234011945,912.7228327228327
10240,3DES,10.452356109770932,10.66065573883967
10240,AES (128-bit),356.2500777604976,733.8852578068264
10240,Camellia (128-bit),36.410621994745355,37.205798883944944
10240,ChaCha20,682.6371331747062,1285.9950781932205
20480,3DES,10.718366795211422,10.62804154920427
20480,AES (128-bit),646.9759713406239,1084.6814814814816
20480,Camellia (128-bit),37.53096980111972,38.467064269839675
20480,ChaCha20,1135.7041897009092,1508.1898227558606
51200,3DES,10.788613904638817,2.1434470793722995
51200,AES (128-bit),620.9744467227521,1103.853789267372
51200,Camellia (128-bit),37.901805815858886,38.47685527777249
51200,ChaCha20,1307.81185014922,2102.219310646025
102400,3DES,6.0062371878174945,0.956520936274942
102400,AES (128-bit),767.6728035683195,1009.92590760769
102400,Camellia (128-bit),37.471538824130434,38.132819676533046
102400,ChaCha20,1272.935048223046,1555.480684093978
1048576,3DES,2.452361174674891,3.27454810679915
1048576,AES (128-bit),647.8724463739836,814.0948105545386
1048576,Camellia (128-bit),3.386688955599039,3.1008774819000737
1048576,ChaCha20,1050.3292544687788,1190.9291475979628
2097152,3DES,1.9742469861350649,1.5329272602687372
2097152,AES (128-bit),485.05802245534187,42.0612735520741
2097152,Camellia (128-bit),4.169825550136699,3.3538296618246384
2097152,ChaCha20,752.6920364849929,783.0073707149189
5242880,3DES,1.5004522992667273,1.5367736773975313
5242880,AES (128-bit),40.24251319349024,17.192938595276313
5242880,Camellia (128-bit),3.6521309082414093,3.7956261673030944
5242880,ChaCha20,134.18132115841783,24.727366874472537
10485760,3DES,1.1558622788269135,1.2365978066472425
10485760,AES (128-bit),13.56956310310835,12.827116046584992
10485760,Camellia (128-bit),2.829623163110581,2.9361220328505504
10485760,ChaCha20,14.82353518919036,13.345477245980947
20971520,3DES,1.1823546584795224,3.6741906206943065
20971520,AES (128-bit),6.542446610041655,8.515905548282168
20971520,Camellia (128-bit),2.5362454530675334,3.4253975699981147
20971520,ChaCha20,7.05014520169496,8.103608668544314
